name,longitude,latitude
Evergreen-Playground,40.68614993,-73.91074155
Fermi-Playground,40.70013534,-73.92828436
Bildersee-Playground,40.63549549,-73.91163983
Abe-Stark-Skating-Rink,40.57384705,-73.98551289
Century-Playground,40.57701884,-73.97003499
Tom-McDonald-Triangle,40.62192752,-74.02259307
Newport-Playground,40.66088145,-73.90703442
Garden-Playground,40.70111805,-73.93830278
Osborn-Playground,40.65573485,-73.90607141
Ethan-Allen-Playground,40.6556607,-73.88692855
Ericsson-Playground,40.72017524,-73.94810682
Carver-Playground,40.6802972,-73.92056485
Willoughby-Playground,40.69438605,-73.94674491
Bath-Playground,40.59464528,-73.993567
Stroud-Playground,40.67500791,-73.96192897
Kosciuszko-Pool,40.69121683,-73.94949066
Curtis-Playground,40.64094957,-73.91742819
Bergen-Beach-Playground,40.62240621,-73.9095613
North-Pacific-Playground,40.68530374,-73.98212594
Jackie-Robinson-Playground,40.66581487,-73.95923598
De-Hostos-Playground,40.70269572,-73.94930551
Eleanor-Roosevelt-Playground,40.69281522,-73.93553181
Remsen-Playground,40.64229925,-73.9073517
Boerum-Park,40.68465569,-73.99032743
Chester-Playground,40.66875437,-73.91190816
Houston-Playground,40.67218638,-73.90506774
Woods-Playground,40.67450299,-73.92894183
Duke-Park,40.66681059,-73.89328454
Livonia-Park,40.663931,-73.90200172
The-Cyclone,40.5743928,-73.97771477
Steeplechase-Park,40.57399878,-73.98417781
Friends-Field,40.61856591,-73.97326425
Chiarantano-Playground,40.6358477,-73.93309892
Floyd-Patterson-Ballfields,40.66087673,-73.90408751
University-Place,40.69117471,-73.98161545
Coney-Island-Creek-Park,40.5814317,-74.00380752
Robert-E-Venable-Park,40.67440958,-73.8652238
Thomas-Boyland-Park,40.68185175,-73.9077931
Roberto-Clemente-Ballfield,40.70633433,-73.9677053
Jacobs-Ladder-Playground,40.70488783,-73.96700516
Ten-Eyck-Plaza,40.70929974,-73.9493502
Hilltop-Playground,40.67533709,-73.91434718
Gateway-Triangle,40.68402494,-73.96832609
Umma-Park,40.65350437,-73.96193259
Mother-Cabrini-Park,40.68432962,-74.00475339
Lt-Federico-Narvaez-Tot-Lot,40.64030722,-73.96595928
Lott-Park,40.64815707,-73.95408987
Sheepshead-Bay-Piers,40.58319122,-73.94478269
Four-Sparrow-Marsh,40.60084885,-73.90557805
Green-Central-Knoll,40.70178963,-73.93300752
Nehemiah-Park,40.66179989,-73.90544379
Carter-G-Woodson-Childrens-Park,40.66845639,-73.90580694
Hattie-Carthan-Community-Garden,40.68982582,-73.94850474
Grand-Ferry-Park,40.71656299,-73.96687606
George-Walker-Jr-Park,40.67861598,-73.89512385
Harmony-Park,40.67794383,-73.93443718
Epiphany-Playground,40.70854076,-73.9655518
Paerdegat-Basin-Park,40.62653861,-73.90935686
South-Oxford-Park,40.68355225,-73.97244097
Valentino-Pier,40.67835911,-74.01832946
Sutter-Ballfields,40.67115914,-73.88757484
Lewis-Playground,40.69540703,-73.93789249
Brooklyn-Bridge-Park,40.69189576,-74.00396709
American-Veterans-Memorial-Pier,40.63970214,-74.03781693
Hendrick-I-Lott-House,40.61033124,-73.9326463
Old-Gravesend-Cemetery,40.59451793,-73.97462445
Bushwick-Inlet-Park,40.72281072,-73.96202772
North-5th-Street-Pier-and-Park,40.72024169,-73.96497941
Berriman-Playground,40.65646122,-73.86995218
Beaver-Noll-Park,40.69918338,-73.93660253
Betty-Carter-Park,40.68698465,-73.97740998
Maple-Street-Community-Garden,40.66073596,-73.95290697
Greenpoint-Landing,40.73665703,-73.9601294
Bush-Terminal-Park,40.65109646,-74.02224038
St-Marks-Playground,40.6745739,-73.94049531
GREENSTREET,40.620123,-73.91067389
Babi-Yar-Triangle,40.57938311,-73.95466767
Schloss-Triangle,40.58277078,-73.95698512
Ascenzi-Square,40.71447082,-73.95695046
Jewel-Square,40.67695013,-73.90055511
Abingdon-Square,40.73734901,-74.00536376
Ahearn-Park,40.71477009,-73.98345801
Allen-Mall-One,40.72153161,-73.98920165
Tribeca-Park,40.72021187,-74.00570442
Bowling-Green,40.70501245,-74.0136767
Bryant-Park,40.75374975,-73.98354866
Bennett-Park,40.85284064,-73.93810413
Central-Park,40.78248928,-73.96556206
Chelsea-Park,40.74991522,-74.00064063
Christopher-Park,40.73359615,-74.00224294
City-Hall-Park,40.71303557,-74.00612195
Cooper-Triangle,40.72883433,-73.99076169
Corlears-Hook-Park,40.71177674,-73.97930471
Carmansville-Playground,40.82919627,-73.94424779
Coleman-Playground,40.71062111,-73.99419561
Dante-Park,40.77183726,-73.9825781
A-Philip-Randolph-Square,40.80383341,-73.95241207
De-Witt-Clinton-Park,40.76819027,-73.99428711
Donnellan-Square,40.8270274,-73.94271731
Dorrance-Brooks-Square,40.81826248,-73.94727339
Duane-Park,40.71718438,-74.0094065
Dyckman-House-Museum,40.86746661,-73.92287474
Downing-Street-Playground,40.72981391,-74.0027258
Fort-Washington-Park,40.85609498,-73.94047958
Fort-Tryon-Park,40.86198862,-73.93278277
Thomas-Paine-Park,40.71483345,-74.002773
Amelia-Gorman-Park,40.85567534,-73.93239788
Greeley-Square-Park,40.74861324,-73.9883495
Hamilton-Fish-Park,40.71981192,-73.98084412
Hancock-Park,40.80957864,-73.95329743
Colonel-Charles-Young-Triangle,40.8272144,-73.93583847
Herald-Square,40.75033309,-73.98763467
Highbridge-Park,40.84439061,-73.93160645
James-J-Walker-Park,40.72977731,-74.00611026
Harlem-River-Park,40.8062548,-73.93390283
Johnny-Hartman-Square,40.82411005,-73.94861667
Alexander-Hamilton-Playground,40.82307991,-73.95124106
Inwood-Hill-Park,40.87295533,-73.9253609
Isham-Park,40.86941652,-73.91871482
Jackson-Square,40.7389712,-74.00287421
Vietnam-Veterans-Plaza,40.70252842,-74.00984482
Thomas-Jefferson-Park,40.79307081,-73.93528922
Joan-Of-Arc-Park,40.79435267,-73.97638539
Madison-Square-Park,40.74220407,-73.98787209
Theodore-Roosevelt-Park,40.78134864,-73.97406014
Mitchel-Square,40.84004869,-73.940038
Montefiore-Square,40.82160457,-73.95358665
Morningside-Park,40.80690816,-73.95804852
Marcus-Garvey-Park,40.80450636,-73.9436634
Park-Avenue-Malls,40.74742763,-73.98108949
Plaza-Lafayette,40.85154529,-73.94159654
Lillian-D-Wald-Playground,40.71198954,-73.98426757
Luther-Gulick-Park,40.71589777,-73.98189237
Dr-Gertrude-B-Kelly-Playground,40.74165591,-74.00200283
Sophie-Irene-Loeb,40.7132484,-73.99427001
Vesuvio-Playground,40.72530713,-74.00258842
Queensboro-Oval,40.75923266,-73.96007378
Riverside-Park,40.79668793,-73.97603758
Roger-Morris-Park,40.83450812,-73.93850296
St-Vartan-Park,40.74512959,-73.97369762
St-Nicholas-Park,40.81691316,-73.94898431
St-Catherines-Park,40.76520776,-73.95872275
Schiff-Mall,40.71816674,-73.98700348
Carl-Schurz-Park,40.77491552,-73.94377731
Seward-Park,40.71476704,-73.98918403
Sherman-Square,40.77735904,-73.98235791
Straus-Park,40.80182468,-73.96824816
Stuyvesant-Square,40.73382218,-73.98442266
Sakura-Park,40.8130377,-73.96210094
Tompkins-Square-Park,40.72643827,-73.9816918
Union-Square-Park,40.73598137,-73.99042261
Lafayette-Square,40.80361613,-73.95806333
